* Measurement data measured by REW V5.40 beta 107
* Source: Input device not selected, no input selected, L, volume: no control. Timing signal peak level -11.5 dBFS, measurement signal peak level -9.3 dBFS
* Format: 10 second Pink noise FSAF at -12.0 dBFS using an acoustic timing reference
* Dated: 2025 Nov 25 14:37:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: HP: L-R 12 dB/octave at 20 Hz LP: L-R 12 dB/octave at 20 kHz
* Measurement: R Nov 25
* Smoothing: None
* Frequency Step: 0.3364563 Hz
* Start Frequency: 10.093689 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
252.005768 98.343 -11.1326
252.342224 98.381 -11.0742
252.678680 98.417 -11.1035
253.015137 98.447 -11.1884
253.351593 98.470 -11.2958
253.688049 98.490 -11.4071
254.024506 98.507 -11.5204
254.360962 98.523 -11.6412
254.697418 98.536 -11.7697
255.033875 98.546 -11.8954
255.370331 98.553 -12.0027
255.706787 98.561 -12.0818
256.043243 98.573 -12.1383
256.379700 98.591 -12.1935
256.716156 98.614 -12.2733
257.052612 98.639 -12.3943
257.389069 98.662 -12.5533
257.725525 98.681 -12.7303
258.061981 98.695 -12.8997
258.398438 98.707 -13.0449
258.734894 98.721 -13.1676
259.071350 98.739 -13.2849
259.407806 98.761 -13.4176
259.744263 98.784 -13.5766
260.080719 98.805 -13.7565
260.417175 98.823 -13.9410
260.753632 98.840 -14.1160
261.090088 98.859 -14.2815
261.426544 98.881 -14.4548
261.763000 98.906 -14.6602
262.099457 98.930 -14.9128
262.435913 98.948 -15.2057
262.772369 98.957 -15.5110
263.108826 98.959 -15.7933
263.445282 98.956 -16.0305
263.781738 98.955 -16.2266
264.118195 98.959 -16.4104
264.454651 98.966 -16.6171
264.791107 98.972 -16.8644
265.127563 98.971 -17.1386
265.464020 98.959 -17.3994
265.800476 98.941 -17.6016
266.136932 98.922 -17.7206
266.473389 98.910 -17.7695
266.809845 98.912 -17.7931
267.146301 98.924 -17.8456
267.482758 98.944 -17.9623
267.819214 98.962 -18.1449
268.155670 98.975 -18.3666
268.492126 98.983 -18.5931
268.828583 98.988 -18.8041
269.165039 98.995 -19.0039
269.501495 99.005 -19.2163
269.837952 99.017 -19.4664
270.174408 99.027 -19.7638
270.510864 99.029 -20.0955
270.847321 99.023 -20.4324
271.183777 99.008 -20.7433
271.520233 98.989 -21.0073
271.856689 98.969 -21.2202
272.193146 98.952 -21.3922
272.529602 98.942 -21.5424
272.866058 98.937 -21.6929
273.202515 98.937 -21.8652
273.538971 98.941 -22.0779
273.875427 98.944 -22.3409
274.211884 98.941 -22.6503
274.548340 98.930 -22.9833
274.884796 98.908 -23.3032
275.221252 98.879 -23.5726
275.557709 98.848 -23.7717
275.894165 98.823 -23.9117
276.230621 98.806 -24.0334
276.567078 98.798 -24.1872
276.903534 98.791 -24.4040
277.239990 98.777 -24.6755
277.576447 98.752 -24.9552
277.912903 98.716 -25.1824
278.249359 98.676 -25.3163
278.585815 98.644 -25.3622
278.922272 98.626 -25.3738
279.258728 98.623 -25.4246
279.595184 98.625 -25.5657
279.931641 98.621 -25.7964
280.268097 98.604 -26.0645
280.604553 98.572 -26.2949
280.941010 98.534 -26.4328
281.277466 98.502 -26.4739
281.613922 98.482 -26.4680
281.950378 98.477 -26.4896
282.286835 98.479 -26.5942
282.623291 98.476 -26.7866
282.959747 98.460 -27.0208
283.296204 98.431 -27.2275
283.632660 98.394 -27.3522
283.969116 98.359 -27.3818
284.305573 98.334 -27.3493
284.642029 98.322 -27.3112
284.978485 98.319 -27.3162
285.314941 98.319 -27.3834
285.651398 98.316 -27.5015
285.987854 98.308 -27.6440
286.324310 98.295 -27.7891
286.660767 98.278 -27.9284
286.997223 98.259 -28.0641
287.333679 98.238 -28.1973
287.670135 98.212 -28.3205
288.006592 98.183 -28.4185
288.343048 98.154 -28.4787
288.679504 98.126 -28.5016
289.015961 98.104 -28.5028
289.352417 98.088 -28.5055
289.688873 98.075 -28.5269
290.025330 98.063 -28.5703
290.361786 98.052 -28.6280
290.698242 98.040 -28.6912
291.034698 98.030 -28.7608
291.371155 98.021 -28.8478
291.707611 98.011 -28.9636
292.044067 97.997 -29.1064
292.380524 97.976 -29.2544
292.716980 97.947 -29.3726
293.053436 97.915 -29.4308
293.389893 97.886 -29.4221
293.726349 97.864 -29.3695
294.062805 97.852 -29.3140
294.399261 97.847 -29.2911
294.735718 97.842 -29.3109
295.072174 97.834 -29.3530
295.408630 97.821 -29.3830
295.745087 97.808 -29.3766
296.081543 97.799 -29.3384
296.417999 97.799 -29.3025
296.754456 97.806 -29.3133
297.090912 97.813 -29.3982
297.427368 97.813 -29.5493
297.763824 97.800 -29.7248
